cricsheet_id,name,balls_bowled,inferred_family,confidence,evidence,source_batting_raw,source_bowling_raw,source,powerplay_share,middle_share,death_share,stumping_rate_per_1000,noball_rate_per_1000,batting_hand,bowling_class,reviewer_notes
5f547c8b,Rashid Khan,3530,spin,0.95,8 stumpings off 3530 balls; middle-overs share 72%,Right-handed,Leg break googly,wikipedia:Rashid Khan,0.099,0.723,0.178,2.27,0.00,,,
0c2730df,A Kumble,965,spin,0.95,8 stumpings off 965 balls; middle-overs share 72%,Right-handed,Leg break,wikipedia:Anil Kumble,0.112,0.715,0.173,8.29,5.18,,,
5d9a1a73,R Sharma,922,spin,0.86,2 stumping(s); middle-overs share 74%,Right-handed,Legbreak googly,"wikipedia:Rahul Sharma (cricketer, born 1986)",0.098,0.735,0.167,2.17,0.00,,,
1a0c3177,P Awana,747,pace,0.19,"no stumpings; powerplay 36%, middle 41%, death 23%, no-balls 5.4/1000",Right-handed,,wikipedia:Parvinder Awana,0.361,0.410,0.229,0.00,5.35,,,
13fc5c6d,DS Rathi,546,spin,0.12,"no stumpings; powerplay 25%, middle 59%, death 15%, no-balls 3.7/1000",,,,0.253,0.593,0.154,0.00,3.66,,,
bd77eb62,A Symonds,527,spin,0.67,2 stumping(s); middle-overs share 63%,Right-handed,,wikipedia:Andrew Symonds,0.216,0.626,0.157,3.80,1.90,,,
50c6bc2b,LS Livingstone,312,spin,0.95,1 stumping(s); middle-overs share 87%,Right-handed,,wikipedia:Liam Livingstone,0.058,0.865,0.077,3.21,0.00,,,
5ffc0565,V Nigam,288,spin,0.62,1 stumping(s); middle-overs share 69%,,,,0.188,0.688,0.125,3.47,17.36,,,
133bbd61,Brijesh Sharma,273,pace,0.26,"no stumpings; powerplay 26%, middle 40%, death 34%, no-balls 14.7/1000",,,,0.264,0.396,0.341,0.00,14.65,,,
7b44eb3e,Shivang Kumar,234,spin,0.53,"no stumpings; powerplay 3%, middle 92%, death 5%, no-balls 0.0/1000",,,,0.026,0.923,0.051,0.00,0.00,,,
edb3d4f8,KC Cariappa,216,spin,0.58,2 stumping(s); middle-overs share 75%,Right-handed,Leg break,wikipedia:K. C. Cariappa (cricketer),0.167,0.750,0.083,9.26,9.26,,,
b410bd3d,S Lamichhane,210,spin,0.35,2 stumping(s); middle-overs share 51%,Right-handed,Leg break,wikipedia:Sandeep Lamichhane,0.343,0.514,0.143,9.52,0.00,,,
36619795,Zeeshan Ansari,185,spin,0.34,"no stumpings; powerplay 0%, middle 88%, death 12%, no-balls 5.4/1000",Right-handed,Legbreak googly,wikipedia:Zeeshan Ansari,0.000,0.876,0.124,0.00,5.41,,,
02dfebbe,Yash Raj Punja,180,spin,0.35,"no stumpings; powerplay 3%, middle 87%, death 10%, no-balls 0.0/1000",,,,0.033,0.867,0.100,0.00,0.00,,,
ece7b6b3,PP Hinge,156,pace,0.30,"no stumpings; powerplay 42%, middle 23%, death 35%, no-balls 19.2/1000",,,,0.423,0.231,0.346,0.00,19.23,,,
acd4f5dc,DP Vijaykumar,152,pace,0.33,"no stumpings; powerplay 67%, middle 16%, death 17%, no-balls 13.2/1000",,,,0.671,0.158,0.171,0.00,13.16,,,
50c09020,Ashok Sharma,126,pace,0.07,"no stumpings; powerplay 19%, middle 43%, death 38%, no-balls 7.9/1000",,,,0.190,0.429,0.381,0.00,7.94,,,
